variant,n,strategy_n,full_mae,variant_mae,mae_diff_full_minus_variant,mae_diff_bootstrap_ci_low,mae_diff_bootstrap_ci_high,dm_stat,dm_pvalue,full_better_by_mae,full_cumulative_return,variant_cumulative_return,mean_strategy_return_diff_full_minus_variant,strategy_return_diff_bootstrap_ci_low,strategy_return_diff_bootstrap_ci_high,strategy_return_mean_t_stat,strategy_return_dm_stat,strategy_return_dm_pvalue,strategy_return_dm_one_sided_pvalue,strategy_return_bootstrap_one_sided_pvalue,full_better_by_strategy_return_5pct,full_better_by_mean_strategy_return
no_financial,560,560,0.017050141797417692,0.01718474131580321,-0.00013459951838551637,-0.0002882907162561577,2.7183306580143143e-05,-0.9312436492346773,0.3517275436982046,True,0.272598886105643,-0.0004633889905439892,0.00045394479747432455,-7.428828858517219e-05,0.001012534025261061,1.586705835109154,1.472894836293162,0.1407793946486772,0.0703896973243386,0.0548,False,True
no_industry,560,560,0.017050141797417692,0.017042098857590504,8.042939827191316e-06,-6.940743603202907e-05,8.513653931337371e-05,1.577556840971895,0.11466745408296244,False,0.272598886105643,7.723738331644192e-05,0.00045297900830208775,-7.47102217534456e-05,0.0010116216452563868,1.583864112573382,1.4700188117742508,0.14155665914580864,0.07077832957290432,0.055,False,True
no_macro,560,560,0.017050141797417692,0.01709616372737482,-4.602192995712774e-05,-0.00015338050771243386,3.889089463018822e-05,-0.8125982437956824,0.41644843880371935,True,0.272598886105643,-0.0002404842255750994,0.0004535465159258827,-7.40909546095205e-05,0.0010114590429716156,1.5863820896908027,1.4719521670421591,0.14103379486615528,0.07051689743307764,0.0548,False,True
no_news,560,560,0.017050141797417692,0.01735399961930271,-0.00030385782188501863,-0.0006303039926524546,-9.058301593805037e-05,-1.7076246398548776,0.08770601340602367,True,0.272598886105643,-1.6770636585894394e-05,0.00045314713064363555,-7.538068923710467e-05,0.001011776155295236,1.583903564257286,1.469906869571207,0.1415869787942368,0.0707934893971184,0.055,False,True
no_notices,560,560,0.017050141797417692,0.017061380356022504,-1.1238558604813264e-05,-7.469918998678121e-05,5.1930983165718996e-05,-0.46549187300820616,0.6415792554945151,True,0.272598886105643,-0.00010115786987352493,0.00045329782846384746,-7.524158456083418e-05,0.0010118242233479841,1.5844222192189554,1.4703456155605399,0.14146817258097483,0.07073408629048741,0.0548,False,True
no_policy,560,560,0.017050141797417692,0.01711676449819123,-6.662270077353729e-05,-0.00020929133077253863,6.911894112315179e-05,-1.7462694356858595,0.0807641442599928,True,0.272598886105643,-0.0003654003315923804,0.0004537697575655116,-7.477502480240336e-05,0.001012099958612955,1.5864371640187072,1.472127670875353,0.14098640450904198,0.07049320225452099,0.0548,False,True
no_sentiment,560,560,0.017050141797417692,0.017065093717413004,-1.4951919995312089e-05,-0.00010796863949913586,6.516531056319448e-05,0.07989559215309285,0.9363202955765073,True,0.272598886105643,0.0001373426402488942,0.00045287191979224766,-7.545569808800665e-05,0.0010116631445855851,1.5829590398504285,1.4690479714067632,0.14181977818573083,0.07090988909286541,0.055,False,True
