metric,mean,std,ci95_low,ci95_high,n
mae,0.017080015967446988,5.2698869577471556e-05,0.01705718349650539,0.017103713326145766,20.0
rmse,0.025960999539890506,4.5466026634277996e-05,0.025940888335684857,0.025981463576228016,20.0
directional_accuracy,0.5442857142857143,0.010000000000000004,0.5395535714285714,0.5483035714285714,20.0
cumulative_return,-0.028862376069571198,0.15974995353935467,-0.10183469670704579,0.041551287500344106,20.0
annualized_return,-0.016497271182085143,0.07416319185098628,-0.05089910017279842,0.015474004025036367,20.0
sharpe_ratio,-0.20173146615567958,0.6862363104461301,-0.506843883026928,0.10090488070017106,20.0
max_drawdown,-0.17715402544505077,0.09104157439554875,-0.21996117365489898,-0.13707652098020398,20.0
exposure_ratio,0.4272321428571429,0.15148486466290542,0.36060937500000007,0.495625,20.0
