seed,mae,rmse,directional_accuracy,cumulative_return,annualized_return,sharpe_ratio,max_drawdown,exposure_ratio
2024,0.01697541205738549,0.0258648269882547,0.5571428571428572,-0.20371080677018039,-0.09742797238521772,-1.156324529072879,-0.22824475290073087,0.2714285714285714
2025,0.017030611238133358,0.025924415537705435,0.5482142857142858,0.03047648001199965,0.013601250507115914,0.1631050904639904,-0.2154581688425784,0.7
2026,0.01703779232397179,0.025919981043812903,0.5428571428571428,-0.05802467522067778,-0.026540726000439885,-0.37366151357047733,-0.09472528876372133,0.25892857142857145
2027,0.017115361976067698,0.02598385394290022,0.5464285714285714,0.02257767491302709,0.010097597406883096,0.16155993886918832,-0.0750512839457288,0.3892857142857143
2028,0.017051292261367975,0.02594282163279032,0.5517857142857143,-0.09438241505409406,-0.043631680965791175,-0.6884212767940733,-0.11617325936852707,0.3392857142857143
2029,0.017143907298827747,0.026001516838691535,0.5178571428571429,-0.05500779660759103,-0.025138988891744263,-0.3785332034569125,-0.07141827040780546,0.17142857142857143
2030,0.017187008365422807,0.026034659677401508,0.5464285714285714,0.1636586389217738,0.07058589961442552,0.7084616827094423,-0.06807649708353081,0.34285714285714286
2031,0.017059707485874265,0.02590727616597946,0.5375,0.18715217559980446,0.08025895891630719,0.49645045958291895,-0.17598766432056334,0.6875
2032,0.017126210592272404,0.0260092771299404,0.5339285714285714,-0.28766708315709666,-0.14156511905848046,-1.0423851608814785,-0.36339453208870887,0.6035714285714285
2033,0.01700697375335563,0.02591258553771897,0.5553571428571429,-0.1359950487898458,-0.06366274368979219,-0.38820572111940854,-0.26971268925542125,0.6214285714285714
2034,0.017136253636593043,0.02599687361708813,0.5464285714285714,-0.09589041107571239,-0.04434863620189522,-0.3235340692609362,-0.2337630065136711,0.45535714285714285
2035,0.017170051347094123,0.025995711582862638,0.5428571428571428,0.13668521275435275,0.05934664284784752,0.40182991822690867,-0.24230768755956478,0.6428571428571429
2036,0.01708045768521545,0.02597288854065661,0.5535714285714286,0.09768786560300269,0.04283473540458216,0.37733753060562214,-0.18391818712214303,0.34285714285714286
2037,0.01706682034588655,0.02598777569054975,0.5464285714285714,-0.23118169979428027,-0.11157520542588639,-1.2336153673011487,-0.25238233340247096,0.3678571428571429
2038,0.01703062503919604,0.025919843842485427,0.5482142857142858,-0.3328442700875329,-0.16650643892399963,-1.515984428874532,-0.3754272588735512,0.5553571428571429
2039,0.017074588318745795,0.026036424928803086,0.5482142857142858,-0.0910643412988702,-0.04205645845553063,-0.5812992369948866,-0.09660349530799905,0.35535714285714287
2040,0.01706803085545144,0.025911123910059727,0.5285714285714286,0.10540740789016945,0.04612857932579506,0.4396753805708125,-0.12944321990322882,0.4642857142857143
2041,0.017082378146257144,0.025966831561312603,0.5553571428571429,0.09995790566808549,0.04380465530280908,0.43599992218859807,-0.11578368987710619,0.325
2042,0.017058098981218996,0.025977780214478434,0.55,-0.09235852284465973,-0.04267048144457386,-0.49070401308778705,-0.15176327944917678,0.2982142857142857
2043,0.017098737640602008,0.025953522414318357,0.5285714285714286,0.2572761879469019,0.10852070847588302,0.9536192740834459,-0.08344594391478721,0.3517857142857143
